Timestamp,How would you rate your overall satisfaction with the Summer Academy this week?,How well are the tutorials paced?,What track are you in?,,How well is the schedule paced?,#,How likely is it that you would recommend the Make School Summer Academy to a friend?,location,track,Start Date (UTC),Submit Date (UTC),Network ID,﻿ID,Location,Track,Week,Rating (Num),Schedule Pacing
"6/24/2016 11:47:36","4","3","Intro",,"3",,,,,,,,"81","San Francisco","Apps, Explorer","Week 1","8","Just right",
"6/24/2016 13:36:03","4","3","Intro",,"3",,,,,,,,"83","Oakland","Apps","Week 1","8","A little too fast",
"6/24/2016 13:42:02","4","3","Intro",,"4",,,,,,,,"84","Santa Clara","Games","Week 1","8","Just right",
"6/24/2016 13:45:04","4","3","Intro",,"3",,,,,,,,"86","Santa Clara","Apps","Week 1","8","Just right",
"6/24/2016 13:47:15","4","3","Intro",,"3",,,,,,,,"88","Santa Clara","Games","Week 1","8","A little too slow",
"6/24/2016 11:42:30","4","4","Intro",,"3",,,,,,,,"90","Santa Clara","Apps","Week 1","8","A little too slow",
"6/24/2016 12:58:35","4","4","Intro",,"4",,,,,,,,"91","Santa Clara","Apps","Week 1","8","A little too slow",
"6/26/2016 22:45:58","4","4","Intro",,"4",,,,,,,,"92","Santa Clara","Games","Week 1","8","Just right",
"6/24/2016 11:41:47","5","2","Intro",,"3",,,,,,,,"95","Santa Clara","Apps, Explorer","Week 1","8","Just right",
"6/24/2016 11:41:42","5","3","Intro",,"4",,,,,,,,"96","Santa Clara","Apps","Week 1","8","Just right",
"6/24/2016 11:53:29","5","3","Intro",,"3",,,,,,,,"99","Santa Clara","Apps, Explorer","Week 1","8","Just right",
"6/24/2016 13:33:35","5","3","Intro",,"4",,,,,,,,"100","Santa Clara","Apps, Explorer","Week 1","8","Just right",
"6/24/2016 13:56:06","5","3","VR",,"3",,,,,,,,"105","Oakland","Apps","Week 1","8","A little too fast",
"6/24/2016 16:19:53","5","3","VR",,"3",,,,,,,,"109","San Francisco","Games","Week 1","8","Just right",
"6/24/2016 11:53:20","5","4","VR",,"3",,,,,,,,"114","Santa Clara","Games","Week 1","8","Just right",
"6/24/2016 14:21:25","5","4","VR",,"3",,,,,,,,"115","San Francisco","Games","Week 1","8","A little too slow",
"6/24/2016 13:20:34","5","5","Games",,"4",,,,,,,,"121","San Francisco","Games","Week 1","8","A little too slow",
"6/24/2016 13:41:56","5","5","Apps",,"4",,,,,,,,"125","Santa Clara","Games","Week 1","8","Just right",
"6/26/2016 23:32:51","5","3","Apps",,"4",,,,,,,,"126","Oakland","Apps","Week 1","8","A little too fast",
"6/29/2016 22:39:27","3","3","Apps",,"4",,,,,,,,"130","San Francisco","Apps","Week 1","8","Just right",
